source_id	strand	full_citation	title	year	journal_or_repository	doi	pmid	url	source_type	peer_reviewed	species	strain	conditions	method	exact_locator	directness	quality_grade	limitations	verification_status	retrieved_date
SRC-QD-003	demand;essentiality	Schwartz C et al. Metab Eng 55:102-110	Validating genome-wide CRISPR-Cas9 function improves screening in the oleaginous yeast Yarrowia lipolytica	2019	Metabolic Engineering	10.1016/j.ymben.2019.06.007		https://www.sciencedirect.com/science/article/pii/S1096717619301120	primary_research	true	Yarrowia lipolytica	PO1f	SD-Leu; 2% glucose; 30 C; 4 d	activity-corrected genome-wide CRISPR-Cas9 screen	Table S3/S1 and methods	direct_condition_matched	A	Fitness does not measure CoQ pool or biosynthetic flux; classifications depend on guide-training scheme	independent_audit_not_opened	2026-08-06
SRC-QD-004	demand;essentiality	Patterson K et al. Metab Eng 48:184-196	Functional genomics for the oleaginous yeast Yarrowia lipolytica	2018	Metabolic Engineering	10.1016/j.ymben.2018.05.008	29792930	https://pubmed.ncbi.nlm.nih.gov/29792930/	primary_research	true	Yarrowia lipolytica	PO1f-related screening background	SD-Leu; 2% glucose	Hermes transposon functional-genomics screen	methods and essential-gene dataset	direct_condition_matched	A-	Gene fitness supports pathway function but not pool coefficient	independent_audit_not_opened	2026-08-06
SRC-QD-005	demand;essentiality	Ramesh A et al. Commun Biol 6:617	acCRISPR: an activity-correction method for improving the accuracy of CRISPR screens	2023	Communications Biology	10.1038/s42003-023-04996-8	37291233	https://pmc.ncbi.nlm.nih.gov/articles/PMC10250353/	primary_research	true	Yarrowia lipolytica	PO1f	SD-Leu/glucose screen conditions	Cas9 and Cas12a screens; activity correction; consensus analysis	main/supplementary essentiality tables	direct_condition_matched	A	Platform-discordant calls; fitness is not metabolite pool size	independent_audit_opened	2026-08-06
SRC-QD-006	demand	Kerscher SJ et al. J Cell Sci 114:3915-3921	External alternative NADH:ubiquinone oxidoreductase redirected to the internal face of the mitochondrial inner membrane rescues complex I deficiency in Yarrowia lipolytica	2001	Journal of Cell Science	10.1242/jcs.114.21.3915	11719558	https://pubmed.ncbi.nlm.nih.gov/11719558/	primary_research	true	Yarrowia lipolytica	engineered complex-I-deficient strains	re-directed NDH2 constructs	genetic engineering; respiration assays	Abstract and Results on internal versus external NDH2	direct_species	A-	Shows topology of electron delivery to shared Q pool; not net Q consumption or pool abundance	independent_audit_opened	2026-08-06
SRC-QD-007	demand	Guerrero-Castillo S et al. BBA 1787:75-85	In Yarrowia lipolytica mitochondria, the alternative NADH dehydrogenase interacts specifically with the cytochrome complexes of the classic respiratory pathway	2009	BBA Bioenergetics	10.1016/j.bbabio.2008.10.008	19038229	https://pubmed.ncbi.nlm.nih.gov/19038229/	primary_research	true	Yarrowia lipolytica	laboratory mitochondrial preparations	mitochondrial respiratory conditions	biochemistry; respiratory-chain interaction assays	Abstract and Results	direct_species	A-	Supports shared Q network; does not quantify total Q pool or turnover	independent_audit_opened	2026-08-06
SRC-QD-008	demand	Guerrero-Castillo S et al. BBA 1817:353-362	During the stationary growth phase, Yarrowia lipolytica prevents the overproduction of reactive oxygen species by activating an uncoupled mitochondrial respiratory pathway	2012	BBA Bioenergetics	10.1016/j.bbabio.2011.11.007		https://www.sciencedirect.com/science/article/pii/S0005272811002799	primary_research	true	Yarrowia lipolytica	laboratory strain	log versus stationary growth phase	mitochondrial respiration and enzyme-pathway measurements	Results comparing growth phases	direct_species	A-	Demonstrates condition-dependent Q usage routes; not pool concentration or turnover	independent_audit_opened	2026-08-06
SRC-GR-001	gpr	Hsu AY et al. Biochemistry 35(30):9797-9806	Complementation of coq3 mutant yeast by mitochondrial targeting of the Escherichia coli UbiG polypeptide: evidence that UbiG catalyzes both O-methylation steps in ubiquinone biosynthesis	1996	Biochemistry	10.1021/bi9602932	8703953	https://doi.org/10.1021/bi9602932	primary_research	true	Saccharomyces cerevisiae	coq3 mutant	heterologous complementation	genetics; mitochondrial targeting; biochemical complementation	Abstract and Results	comparative_step_function	A-	Not Yarrowia; establishes conserved catalytic role, not native locus necessity	independent_audit_opened	2026-08-06
SRC-GR-002	gpr	Barkovich RJ et al. J Biol Chem 272:9182-9188	Characterization of the COQ5 gene from Saccharomyces cerevisiae: evidence for a C-methyltransferase in ubiquinone biosynthesis	1997	Journal of Biological Chemistry	10.1074/jbc.272.14.9182	9083049	https://doi.org/10.1074/jbc.272.14.9182	primary_research	true	Saccharomyces cerevisiae	coq5 system	in-vitro mitochondrial assay	biochemistry; metabolite conversion	Abstract and assay Results	comparative_step_function	A-	Not Yarrowia	independent_audit_opened	2026-08-06
SRC-GR-003	gpr	Tran UC et al. J Biol Chem 281(24):16401-16409	Complementation of Saccharomyces cerevisiae coq7 mutants by mitochondrial targeting of the Escherichia coli UbiF polypeptide: two functions of yeast Coq7 polypeptide in coenzyme Q biosynthesis	2006	Journal of Biological Chemistry	10.1074/jbc.M513267200	16624818	https://pmc.ncbi.nlm.nih.gov/articles/PMC3066048/	primary_research	true	Saccharomyces cerevisiae	coq7 mutants	heterologous rescue	genetics; biochemical rescue; protein-level analysis	Abstract; Fig.5	comparative_step_function	A-	Separates catalytic and complex-stability roles in S. cerevisiae, not native Yarrowia	independent_audit_opened	2026-08-06
SRC-GR-004	gpr	Pelosi L et al. Mol Cell 84(5):981-989.e7	COQ4 is an oxidative decarboxylase in coenzyme Q biosynthesis	2024	Molecular Cell	10.1016/j.molcel.2024.01.003	38295803	https://doi.org/10.1016/j.molcel.2024.01.003	primary_research	true	Saccharomyces cerevisiae and heterologous systems	engineered yeast/bacterial systems	defined in-vitro and heterologous assays	mutagenesis; metabolite detection; complex interaction	Figs.2D, 3, 4	comparative_step_function	A	Not native Yarrowia; provides strong conserved COQ4 chemistry	independent_audit_opened	2026-08-06
SRC-GR-005	gpr	Reidenbach AG et al. Cell Chem Biol 25:154-165.e11	Conserved lipid and small molecule modulation of COQ8 reveals regulation of the ancient kinase-like UbiB family	2018	Cell Chemical Biology	10.1016/j.chembiol.2017.11.001	29198567	https://pmc.ncbi.nlm.nih.gov/articles/PMC5819996/	primary_research	true	Saccharomyces cerevisiae and biochemical systems	analog-sensitive COQ8	acute inhibition and ligand conditions	ATPase biochemistry; chemical genetics	Abstract and acute-inhibition Results	comparative_accessory_function	A	Not Yarrowia; supports regulatory ATPase function, not exact native GPR	independent_audit_opened	2026-08-06
SRC-GR-006	gpr	Hsieh EJ et al. Arch Biochem Biophys 463(1):19-26	Saccharomyces cerevisiae Coq9 polypeptide is a subunit of the mitochondrial coenzyme Q biosynthetic complex	2007	Archives of Biochemistry and Biophysics	10.1016/j.abb.2007.02.016	17391640	https://pmc.ncbi.nlm.nih.gov/articles/PMC2080827/	primary_research	true	Saccharomyces cerevisiae	tagged Coq proteins	mitochondrial complex conditions	co-migration; co-immunoprecipitation	Figs.4-5	comparative_accessory_function	A-	Physical association does not prove intrinsic catalysis or native Yarrowia obligatory dependence	independent_audit_opened	2026-08-06
SRC-GR-007	gpr	He CH et al. BBA 1851(9):1227-1239	Yeast Coq9 controls deamination of coenzyme Q intermediates that derive from para-aminobenzoic acid	2015	BBA Molecular and Cell Biology of Lipids	10.1016/j.bbalip.2015.05.003	26008578	https://pmc.ncbi.nlm.nih.gov/articles/PMC4516658/	primary_research	true	Saccharomyces cerevisiae	temperature-sensitive and isotope-labelled precursor systems	precursor-dependent assays	isotope tracing; genetics	Abstract and Results	comparative_accessory_function	A-	Precursor- and species-dependent; not universal Yarrowia GPR	independent_audit_opened	2026-08-06
SRC-GR-008	gpr	Allan CM et al. J Biol Chem 290(12):7517-7534	Identification of Coq11, a new coenzyme Q biosynthetic protein in the CoQ-synthome in Saccharomyces cerevisiae	2015	Journal of Biological Chemistry	10.1074/jbc.M114.633131	25631044	https://pmc.ncbi.nlm.nih.gov/articles/PMC4367260/	primary_research	true	Saccharomyces cerevisiae	multiple tagged Coq proteins	baseline complex conditions	tandem-affinity purification; proteomics; immunoblotting; complex analysis	Fig.3; Discussion; Fig.13	comparative_synthome	A-	Captured subsets vary; depicted stoichiometry explicitly hypothetical	independent_audit_opened	2026-08-06
SRC-GR-009	gpr	Xie LX et al. J Biol Chem 287:23571-23581	Overexpression of the Coq8 kinase in Saccharomyces cerevisiae coq null mutants allows for accumulation of diagnostic intermediates and chemical bypass	2012	Journal of Biological Chemistry	10.1074/jbc.M112.360354	22593570	https://pmc.ncbi.nlm.nih.gov/articles/PMC3390632/	primary_research	true	Saccharomyces cerevisiae	coq deletion mutants; Coq8 overexpression; precursor rescue	defined bypass conditions	metabolite profiling; growth rescue	Figs.5-7	comparative_counterevidence	A	Bypass conditions challenge invariant reaction-level AND but do not prove native Yarrowia independence	independent_audit_opened	2026-08-06
SRC-GR-010	gpr	Nicoll CR et al. Nat Catal 7:148-160	In vitro construction of the COQ metabolon unveils the molecular determinants of coenzyme Q biosynthesis	2024	Nature Catalysis	10.1038/s41929-023-01087-z	38425362	https://pmc.ncbi.nlm.nih.gov/articles/PMC7615680/	primary_research	true	ancestral-sequence-reconstructed tetrapod COQ proteins in vitro	purified recombinant and truncated constructs	artificial defined in-vitro reconstruction with short-chain or non-prenyl substrates and detergent	biochemistry; GC-MS; chromatography; omission experiments	Results on COQ4/COQ6; Fig.6	comparative_biochemistry	A	Not yeast or Yarrowia; supports conserved candidate chemistry and accessory enhancement but not native Yarrowia GPR or absolute dependency	independent_audit_opened	2026-08-06
SRC-PR-001	provenance	Kerkhoven EJ, Pomraning KR, Baker SE, Nielsen J. NPJ Syst Biol Appl 2:16005	Regulation of amino-acid metabolism controls flux to lipid accumulation in Yarrowia lipolytica	2016	npj Systems Biology and Applications	10.1038/npjsba.2016.5		https://pmc.ncbi.nlm.nih.gov/articles/PMC5516929/	model_methods	true	Yarrowia lipolytica	iYali4	model construction context	GEM reconstruction; Yeast 7.11 template and manual curation	Results: Reconstruction of genome-scale metabolic model; Supplementary Information 1–2	model_provenance	B	Does not independently validate copied quinone chemistry or GPR	locally_cross_checked	2026-08-06
SRC-PR-002	provenance	Guo Y, Su L, Liu Q, Zhu Y, Dai Z, Wang Q. Comput Struct Biotechnol J 20:2503–2511	Dissecting carbon metabolism of Yarrowia lipolytica type strain W29 using genome-scale metabolic modelling	2022	Computational and Structural Biotechnology Journal	10.1016/j.csbj.2022.05.018	35664225	https://pmc.ncbi.nlm.nih.gov/articles/PMC9136261/	model_methods	true	Yarrowia lipolytica	W29/iYli21	iYali4-template reconstruction	reciprocal BLASTp identifier replacement and curation	Methods 2.3	model_provenance	B	Model inheritance is not experimental replication	locally_cross_checked	2026-08-06
SRC-DB-001	identity_provenance	KEGG yli00130 and associated gene records	Ubiquinone and other terpenoid-quinone biosynthesis - Yarrowia lipolytica	2026	KEGG			https://www.kegg.jp/pathway/yli00130	database	false	Yarrowia lipolytica	CLIB122/YALI2 mapping	database state on retrieval	curated/computational pathway annotation	pathway and gene entries	identity_aid	C+	Not primary evidence; some labels conflict with functional COQ1 chain-length evidence	agent_verified	2026-08-06
SRC-DB-002	identity_provenance	UniProt entries Q6C2S2 Q6C074 Q6CEH1 F2Z6J4 Q6C071 Q6CBJ6 Q6CEG2 Q6C5T9	COQ2-COQ9 candidate protein records for Yarrowia lipolytica	2026	UniProtKB			https://rest.uniprot.org/uniprotkb/search?query=organism_id%3A4952%20AND%20%28gene%3ACOQ2%20OR%20gene%3ACOQ3%20OR%20gene%3ACOQ4%20OR%20gene%3ACOQ5%20OR%20gene%3ACOQ6%20OR%20gene%3ACOQ7%20OR%20gene%3ACOQ8%20OR%20gene%3ACOQ9%29	database	false	Yarrowia lipolytica	CLIB122/reference proteome	database state on retrieval	curated and automated protein-family annotation	individual JSON entries	identity_aid	B-	Only Q6C074 reviewed; most are TrEMBL/HAMAP/RuleBase and not locus-specific experiments	agent_verified	2026-08-06
SRC-LOCAL-001	local_model	Current iYali26 model.xml; SHA-256 0f3a6c2b151e945b3461d3fa85f04575f8e8570ba817ed2879013aec91f62415	Frozen current iYali26 model snapshot	2026	local repository			/Users/david/Desktop/Lab/Ian wheeldon/code/iyali26_gem/model.xml	local_model	false	Yarrowia lipolytica	modeled background	frozen 2026-08-06 snapshot	direct SBML inspection and FVA	R763; R407-R385 route; biomass_C; reaction and gene metadata	direct_model_observation	A_for_provenance	Model content is not biological validation	locally_hash_verified	2026-08-06
SRC-LOCAL-002	local_model_provenance	iYali4 c0b54165; iYali5 b73e99d8; iYli21 6974b758; iYali26 0f3a6c2b	Frozen local Yarrowia GEM lineage comparison	2026	local repository			/Users/david/Desktop/Lab/Ian wheeldon/code/iyali26_gem/docs/research/quinone_review_2026-08-06/local_model_provenance.md	local_model_provenance	false	Yarrowia lipolytica	multiple modeled strains	frozen local files	hash comparison and direct XML GPR/chemistry inspection	Models inspected table; Repeated GPR lineage	direct_file_comparison	A_for_provenance	Establishes inheritance only; not biological truth	locally_hash_verified	2026-08-06
