reaction_id,reaction_name,matched_mnxr,source,model_used,timestamp,prompt_hash,raw_response,candidates,ec_numbers
R1818,inositolphosphotransferase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,c4041b03,NONE,no_candidates,
R1829,IPC synthase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,c5b05572,NONE,no_candidates,
R1827,IPC synthase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,2861626c,NONE,no_candidates,
R1795,"diglyceride transport, ER membrane-Golgi membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,5259c57e,NONE,no_candidates,
R1241,M(IP)2C transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,816197ef,NONE,no_candidates,
R1872,"fatty-acid--CoA ligase (octadecadienoate), peroxisome",MNXR191018,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,4c68fe67,MNXR191018,"MNXR137208,MNXR188563,MNXR163357,MNXR182661,MNXR182662,MNXR182663,MNXR145807,MNXR145808,MNXR180405,MNXR191018",
R915,phosphate transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,b9178eb9,NONE,no_candidates,
R2164,Ceramide-3 (Phytosphingosine:n-C26:0OH)transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,b5e48d8d,NONE,no_candidates,
R485,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,ac2f0025,NONE,"MNXR101563,MNXR101567,MNXR108101,MNXR121927,MNXR145611,MNXR159687,MNXR195408,MNXR195411,MNXR195412",
R1288,palmitate exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,011de571,NONE,no_candidates,
R1477,fatty acyl-CoA transport via ABC system (C22:0),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,eda3d674,NONE,"MNXR102870,MNXR153054,MNXR180401,MNXR106400,MNXR135146,MNXR180404,MNXR96123,MNXR123954,MNXR154818,MNXR135053",
R447,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,3d691464,NONE,"MNXR100776,MNXR101576,MNXR145612,MNXR195409,MNXR195410,MNXR195413",
R1790,"phosphatidate transport, lipid particle-ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,e33401ef,NONE,no_candidates,
R942,(1-3)-beta-D-glucan transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,0e8793aa,NONE,no_candidates,
R530,lysophosphatidylcholine acyltransferase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,797447a8,NONE,no_candidates,
xPOOL_FA_EM,Fatty acids pool,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,dc078c49,NONE,no_candidates,
xPOOL_FA_MI,Fatty acids pool,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,deb0cbb8,NONE,no_candidates,
R1682,"episteryl palmitoleate transport, ER membrane-lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,5f59b9b5,NONE,no_candidates,
R1291,panthetheine 4'-phosphate transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,fb9b0e80,NONE,no_candidates,
R2244,S_Adenosyl_L_methionine transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,72497ce1,NONE,no_candidates,
R2275,tributyrin exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,55cc90c1,NONE,no_candidates,
R1398,3-oxoacyl-ACP reductase (3-hydroxyhexanoyl-ACP),MNXR168063,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,d926112b,MNXR168063,"MNXR137224,MNXR168063,MNXR137233,MNXR205772",
R1062,D-arabinose exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,510d467d,NONE,no_candidates,
R1471,fatty acyl-CoA transport via ABC system (C14:0),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,9597e24c,NONE,"MNXR102870,MNXR153054,MNXR180401,MNXR106400,MNXR135146,MNXR180404,MNXR96123,MNXR123954,MNXR154818,MNXR135053",
R1623,"palmitoleoyl-CoA transport, cytoplasm-lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,425e7772,NONE,no_candidates,
R1564,"lanosteryl ester hydrolase (18:1), lipid particle",MNXR119160,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,0192d032,MNXR119160,"MNXR119160,MNXR119159",
R2211,alpha_Aminopropiononitrile exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,eaca5ffc,NONE,no_candidates,
R484,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,66d937ea,NONE,"MNXR101563,MNXR101567,MNXR108101,MNXR121927,MNXR145611,MNXR159687,MNXR195408,MNXR195411,MNXR195412",
R1566,"zymosteryl ester hydrolase (18:1), lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,a46020bc,NONE,no_candidates,
R1374,kynurenine aminotransferase,MNXR132503,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,d180f6cf,MNXR132503,"MNXR132503,MNXR194522,MNXR194523,MNXR100946,MNXR186110,MNXR186307,MNXR186720,MNXR187872,MNXR104504,MNXR105217",
R1906,nicotinate riboside kinase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,a16ad489,NONE,"MNXR102870,MNXR153054,MNXR180401,MNXR106400,MNXR135146,MNXR180404,MNXR96123,MNXR123954,MNXR154818,MNXR135053",
R2039,cytosol nonspecific dipeptidase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,212333c0,NONE,"MNXR103197,MNXR103212,MNXR103210,MNXR105403,MNXR105511,MNXR105523,MNXR105534,MNXR105545,MNXR105555,MNXR105565",
R918,putrescine transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,4b6b5014,NONE,no_candidates,
R1615,"sn-glycero-3-phosphocholine transport, ER membrane-cytoplasm",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,9e57723f,NONE,no_candidates,
R1758,DGPP phosphatase,MNXR191366,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,01887548,MNXR191366,"MNXR191366,MNXR191367",
R1396,B-ketoacyl-ACP synthase (3-oxo-octanoyl-ACP),MNXR168066,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,f069bba1,MNXR168066,"MNXR168066,MNXR168144,MNXR207127",
R1904,nucleotidase (NMN),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,dc3b1612,NONE,no_candidates,
R1485,peroxisomal acyl-CoA thioesterase (16:1),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,ebd76040,NONE,no_candidates,
R1637,"hexacosanoyl-CoA transport, lipid particle-cytoplasm",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,4cc59dd4,NONE,no_candidates,
R993,"7,8-diaminononanoate transport",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,3719ee4e,NONE,no_candidates,
R1729,PC diacylglycerol acyltransferase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,2fd8c5b4,NONE,no_candidates,
R1559,"episteryl ester hydrolase (16:1), lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,364f5405,NONE,no_candidates,
R1784,"diglyceride transport, mitochondrial membrane-cytoplasm",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,5f003d4b,NONE,no_candidates,
R433,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,8bca2214,NONE,no_candidates,
R1576,"lauroyl-CoA transport, cytoplasm-ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,00be0aa3,NONE,no_candidates,
R109,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,aaeb2245,NONE,no_candidates,
R1674,"lignoceric acid transport, ER membrane-lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,df134712,NONE,no_candidates,
R2212,alpha_Aminopropiononitrile transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,6179181b,NONE,no_candidates,
R1647,"stearate transport, cell envelope-cytoplasm",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,1ff58681,NONE,no_candidates,
R1468,"fatty-acid--CoA ligase (lignoceric acid), lipid particle",MNXR157255,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,6d3768ff,MNXR157255,"MNXR157255,MNXR159185,MNXR191031,MNXR99192,MNXR145807,MNXR145808,MNXR180405,MNXR169749,MNXR175414,MNXR175728",
R2034,cytosol nonspecific dipeptidase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,24de08bc,NONE,"MNXR102217,MNXR105516,MNXR105517,MNXR105518,MNXR105519,MNXR105520,MNXR105521,MNXR105522,MNXR105523,MNXR105524",
R2205,glycine:oxygen oxidoreductase;Aminoacetic acid:oxygen oxidoreductase,MNXR100352,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,35b35074,MNXR100352,"MNXR100305,MNXR100338,MNXR114648,MNXR100352,MNXR109895,MNXR109896,MNXR118029,MNXR121292,MNXR150389,MNXR150390",
R2053,phosphatidyl-L-serine transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,de05ee93,NONE,no_candidates,
R1488,acyl-CoA oxidase (hexanoyl-CoA),MNXR127546,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,15071d80,MNXR127546,"MNXR127546,MNXR137329,MNXR135484,MNXR158925,MNXR162735,MNXR96455,MNXR100492,MNXR113960,MNXR119151,MNXR119678",
R1565,"zymosteryl ester hydrolase (16:1), lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,5db34873,NONE,no_candidates,
R1742,PG phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,849345d3,NONE,no_candidates,
R1387,yeast 6 biomass pseudoreaction,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,a79a0c6e,NONE,no_candidates,
R1441,butyrate (n-C4:0) transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,2c574da1,NONE,no_candidates,
R1476,fatty acyl-CoA transport via ABC system (C20:0),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,fceb7b6a,NONE,no_candidates,
R2274,triolein hydrolysis,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,d4218273,NONE,"MNXR100324,MNXR100344,MNXR132479,MNXR134251,MNXR149860,MNXR149861,MNXR173144,MNXR173145,MNXR178989,MNXR99852",
R110,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,589d1011,NONE,no_candidates,
R1747,PI 3-P phosphatase,MNXR146028,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,0d1591b5,MNXR146028,"MNXR146028,MNXR189795,MNXR190328",
R1229,L-sorbose exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,29cc0f2f,NONE,no_candidates,
R1692,"zymosteryl palmitoleate transport, ER membrane-cell envelope",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,dc8deaf1,NONE,no_candidates,
R457,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,e30533f1,NONE,no_candidates,
R917,putrescine transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,9416d57d,NONE,no_candidates,
R1437,laurate (n-C12:0) transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,1681d1f8,NONE,no_candidates,
R1865,alkane oxidase (C12),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,9054effb,NONE,"MNXR101456,MNXR100492,MNXR171951,MNXR179159,MNXR179902,MNXR180310,MNXR180403,MNXR180640,MNXR184748,MNXR186174",
R2214,gamma_Amino_gamma_cyanobutanoate exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,4c174ac8,NONE,no_candidates,
R2273,triolein exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,45c74363,NONE,no_candidates,
R459,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,b2e68e06,NONE,no_candidates,
R1289,palmitoleate exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,47e9d4aa,NONE,no_candidates,
R1469,"fatty-acid--CoA ligase (cerotic acid), lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,e4f98faf,NONE,"MNXR145807,MNXR145808,MNXR180405,MNXR175414,MNXR175728,MNXR178215,MNXR180423,MNXR182563,MNXR184459",
R1889,NADH dehydrogenase (complex I),MNXR145757,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,9d419cb7,MNXR145757,"MNXR142495,MNXR142516,MNXR145757,MNXR145759,MNXR188078",
R1121,"palmitoleate (n-C16:1) transport, cytoplasm-peroxisome",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,4aaef49a,NONE,no_candidates,
R2150,mannosylinositol phosphorylceramide A (C26)_C56H110NO16P transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,0f8f2b8b,NONE,no_candidates,
R1817,inositolphosphotransferase,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,baae7175,NONE,no_candidates,
R1280,octadecanoate (n-C18:0) transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,2eca4474,NONE,no_candidates,
R1579,"palmitoleoyl-CoA transport, cytoplasm-ER membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,9beec399,NONE,no_candidates,
R1027,bicarbonate formation,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,d2199d99,NONE,MNXR179308,
R2128,Ceramide-1 (Sphinganine:n-C24:0) transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,1e1c0ad3,NONE,no_candidates,
R809,4-aminobutyrate transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,877b5bde,NONE,no_candidates,
R908,octadecanoate (n-C18:0) transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,71e0dbd2,NONE,no_candidates,
R1898,fatty-acid--CoA ligase (butyrate),NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,e64871f6,NONE,"MNXR145807,MNXR145808,MNXR180405,MNXR175414,MNXR175728,MNXR178215,MNXR180423,MNXR182563,MNXR184459,MNXR102155",
R1243,M(IP)2C transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,fe525f43,NONE,no_candidates,
R1977,FAD:ubiquinone oxidoreductase,MNXR146491,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,aaa66c09,MNXR146491,"MNXR142520,MNXR146491,MNXR105454,MNXR135482,MNXR105459,MNXR116245,MNXR192652,MNXR207169,MNXR100770,MNXR101753",
R1962,erythrose reductase,MNXR121148,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,84380d5b,MNXR121148,"MNXR121148,MNXR172609",
R2158,Ceramide-3 (Phytosphingosine:n-C24:0OH) trasnport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,1d0d6c09,NONE,no_candidates,
R1727,"lysoPC acyltransferase, mitochondrial membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,b8782bba,NONE,no_candidates,
R1619,"octadecenoate (n-C18:1) transport, cytoplasm-lipid particle",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,decfa507,NONE,no_candidates,
R1025,bicarbonate formation,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,86598d36,NONE,MNXR179308,
R1862,hexadecane transport e--c,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,aebdbe62,NONE,no_candidates,
R1168,hexadecenoate (n-C16:1) transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,702b8ddc,NONE,no_candidates,
R1652,"hexacosanoyl-CoA transport, cell envelope-cytoplasm",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,bf127f9e,NONE,no_candidates,
R1558,"ergosteryl ester hydrolase (18:1), lipid particle",MNXR119162,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,f7497378,MNXR119162,"MNXR119162,MNXR119161",
R1182,IPC transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,1a5cda6d,NONE,no_candidates,
R1333,sulphate exchange,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,e17bccfb,NONE,no_candidates,
R458,IPS phospholipase C,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,b6c52405,NONE,no_candidates,
R1762,"lysoPA phosphatase, Golgi membrane",NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,a74ebfda,NONE,no_candidates,
R1240,M(IP)2C transport,NONE,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,b46ecacc,NONE,no_candidates,
R588,nucleoside diphosphatase,MNXR189674,claude-batch,claude-sonnet-4-20250514,2026-05-20T07:24:23.512718+00:00,2a44b2cc,MNXR189674,"MNXR189674,MNXR134071,MNXR102423,MNXR136083,MNXR179054,MNXR188247,MNXR188527,MNXR189684,MNXR201952,MNXR201953",
