metabolite_id,name,candidate_formula,is_lipid,verdict,authoritative_formula,source_url,confidence,note
m1558[C_pe],(R)-3-hydroxy-cis-tetradec-5-enoyl-CoA_,C35H61N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1554[C_pe],(R)-3-hydroxy-cis-tetradec-7-enoyl-CoA_,C35H59N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1551[C_pe],(R)-3-hydroxydocosanoyl-CoA_,C43H78N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1546[C_pe],(R)-3-hydroxyhexacosanoyl-CoA_,C47H86N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1550[C_pe],(R)-3-hydroxyicosanoyl-CoA_,C41H75N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1545[C_pe],(R)-3-hydroxyoctadecanoyl-CoA,C39H70N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1544[C_pe],(R)-3-hydroxypalmitoyl-CoA_,C37H66N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1552[C_pe],(R)-3-hydroxytetracosanoyl-CoA_,C45H82N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m115[C_pe],(R)-3-hydroxytetradecanoyl-CoA,C35H63N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1974[C_cy],(S)-3-Hydroxyisobutyrate,C4H7O3,no,needs_review,,,inferred,no opened source; plausible by structure
m2011[C_er],"1,2-Diacyl-sn-glycerol",C55H101O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1994[C_cy],"1,2-Diacyl-sn-glycerol",C55H101O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1685[C_vm],"1,2-diacylglycerol 3-diphosphate_",C39H75O11P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1687[C_gm],"1,2-diacylglycerol 3-diphosphate_",C39H75O11P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m575[C_em],1-acyl-sn-glycerol 3-phosphate,C21H41O7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m577[C_lp],1-acyl-sn-glycerol 3-phosphate,C21H41O7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1657[C_em],1-acylglycerophosphocholine_C9H20NO7PR,C26H54NO7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1660[C_en],1-acylglycerophosphocholine_C9H20NO7PR,C26H54NO7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1702[C_lp],1-acylglycerophosphocholine_C9H20NO7PR,C26H54NO7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m789[C_mm],1-acylglycerophosphocholine_C9H20NO7PR,C26H52NO7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1663[C_en],1-acylglycerophosphoethanolamine_,C23H47NO7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1656[C_em],1-acylglycerophosphoethanolamine_,C23H48NO7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1699[C_lp],1-acylglycerophosphoethanolamine_,C23H46NO7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1668[C_en],1-acylglycerophosphoinositol_,C27H51O12P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1666[C_en],1-acylglycerophosphoserine_,C5H14NO6P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1695[C_lp],1-monoglyceride_,C21H41O4,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1644[C_en],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1648[C_em],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1706[C_nu],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1679[C_gm],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1393[C_cy],1-phosphatidyl-1D-myo-inositol,C45H84O13P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m897[C_vm],1-phosphatidyl-1D-myo-inositol,C45H86O13P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m22[C_en],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",C45H86O19P3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m17[C_vm],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",C45H86O19P3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1683[C_cy],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",C45H86O19P3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m20[C_en],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1677[C_em],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1678[C_gm],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m15[C_vm],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H86O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1676[C_cy],1-phosphatidyl-1D-myo-inositol 3-phosphate,C45H85O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1646[C_en],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1669[C_cy],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1672[C_nu],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1684[C_em],"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",C45H86O19P3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1645[C_en],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H85O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1680[C_cy],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H85O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1681[C_em],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H85O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1682[C_gm],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H84O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1718[C_nu],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H84O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1643[C_vm],1-phosphatidyl-1D-myo-inositol 4-phosphate,C45H86O16P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1972[C_cy],2-Methylprop-2-enoyl-CoA,C25H40N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1927[C_cy],2_Octaprenyl_6_hydroxyphenol__5_repeating_units,C36H55O2,no,needs_review,,,inferred,no opened source; plausible by structure
m1923[C_nu],2_Octaprenyl_6_hydroxyphenol__5_repeating_units,C36H55O2,no,needs_review,,,inferred,no opened source; plausible by structure
m1924[C_nu],2_Octaprenyl_6_methoxyphenol__5_repeating_units,C37H57O2,no,needs_review,,,inferred,no opened source; plausible by structure
m1928[C_cy],2_Octaprenylphenol__5_repeating_units_,C36H55O,no,needs_review,,,inferred,no opened source; plausible by structure
m1958[C_cy],"3,4-dihydroxymandelaldehyde",C8H7O4,no,needs_review,,,inferred,no opened source; plausible by structure
m1653[C_mm],3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate_,C42H80O13P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m2030[C_cy],3-Sulfinylpyruvate,C3H4O5S,no,needs_review,,,inferred,no opened source; plausible by structure
m1990[C_cy],3-hydroxypropionyl-coA,C24H39N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1957[C_cy],3-methoxy-4-hydroxymandelate,C9H9O5,no,needs_review,,,inferred,no opened source; plausible by structure
m1567[C_pe],3-oxo-cis-dodec-5-enoyl-CoA_,C33H50N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1569[C_pe],3-oxo-cis-hexadec-7-enoyl-CoA_,C37H60N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1565[C_pe],3-oxo-cis-hexadec-9-enoyl-CoA_,C37H61N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1568[C_pe],3-oxo-cis-octadec-9-enoyl-CoA_,C39H65N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1570[C_pe],3-oxo-cis-tetradec-5-enoyl-CoA_,C35H58N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1566[C_pe],3-oxo-cis-tetradec-7-enoyl-CoA_,C35H56N7O18P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m643[C_cy],4-methyl-5-(2-phosphonooxyethyl)thiazole_,C6H9NO4PS,no,needs_review,,,inferred,no opened source; plausible by structure
m1852[C_cy],5-Keto-D-Gluconic Acid,C6H9O7,no,needs_review,,,inferred,no opened source; plausible by structure
m1845[C_cy],5-aminopentanoate,C5H10NO2,no,needs_review,,,inferred,no opened source; plausible by structure
m1984[C_er],Acyl-coA,C23H38N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1878[C_va],Ala-Gly,C5H10N2O3,no,needs_review,,,inferred,no opened source; plausible by structure
m1877[C_cy],Ala-Gly,C5H10N2O3,no,needs_review,,,inferred,no opened source; plausible by structure
m379[C_em],CDP-diacylglycerol_,C48H86N3O15P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m384[C_mm],CDP-diacylglycerol_,C48H86N3O15P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1980[C_cy],Ceramide-1 (Sphinganine:n-C24:0),C42H85NO3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1979[C_cy],Ceramide-1 (Sphinganine:n-C26:0),C44H89NO3,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1982[C_cy],Ceramide-2 (Phytosphingosine:n-C24:0),C42H85NO4,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1983[C_cy],Ceramide-2 (Phytosphingosine:n-C26:0),C44H88NO4,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m2007[C_cy],Ceramide-3 (Phytosphingosine:n-C24:0OH),C42H85NO5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m2008[C_cy],Ceramide-3 (Phytosphingosine:n-C26:0OH),C44H89NO5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1810[C_cy],D-glucosamine_,C6H14NO5,no,needs_review,C6H13NO5,https://www.kegg.jp/entry/C00329,verified,"D-glucosamine, dH=+1"
m1949[C_cy],D-glycerate,C3H5O4,yes,needs_review,C3H6O4,https://www.kegg.jp/entry/C00258,verified,"D-glycerate, dH=-1"
m2019[C_cy],Dehydrodolichol diphosphate,C30H52O7P2,no,needs_review,,,inferred,no opened source; plausible by structure
m1985[C_er],Dihydroceramide,C44H87NO4,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1989[C_er],Dolichyl beta-D-glucosyl phosphate,C31H56O9P,no,needs_review,,,inferred,no opened source; plausible by structure
m1961[C_er],GDP-mannose,C16H22N5O16P2,no,needs_review,C16H25N5O16P2,https://www.kegg.jp/entry/C00096,verified,"GDP-mannose, dH=-3"
m1871[C_va],Gly-Asp,C6H10N2O5,no,needs_review,,,inferred,no opened source; plausible by structure
m1870[C_cy],Gly-Asp,C6H10N2O5,no,needs_review,,,inferred,no opened source; plausible by structure
m1866[C_va],Gly-Pro,C7H12N2O3,no,needs_review,,,inferred,no opened source; plausible by structure
m1865[C_cy],Gly-Pro,C7H12N2O3,no,needs_review,,,inferred,no opened source; plausible by structure
m1862[C_va],Gly_Glu,C7H12N2O5,no,needs_review,,,inferred,no opened source; plausible by structure
m1861[C_cy],Gly_Glu,C7H12N2O5,no,needs_review,,,inferred,no opened source; plausible by structure
m1890[C_cy],Glycerate,C3H4O4,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m2048[C_cy],Glyceron phosphate,C3H5O6P,yes,needs_review,C3H7O6P,https://www.kegg.jp/entry/C00111,verified,"DHAP, dH=-2 (charge)"
m2009[C_cy],Hexadecenoyl-CoA,C37H64N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m2044[C_cy],Indolepyruvate,C11H8NO3,no,needs_review,,,inferred,no opened source; plausible by structure
m543[C_cy],L-gamma-glutamyl-L-alanine_,C8H14N2O5,no,needs_review,,,inferred,no opened source; plausible by structure
m1969[C_er],"N,N-diacetylrhitobiosyldiphosphodolichol",C41H79N2O17P2,no,needs_review,,,inferred,no opened source; plausible by structure
m1968[C_er],N-acetyl-D-glucosaminyldiphosphodolichol,C33H62NO12P2,no,needs_review,,,inferred,no opened source; plausible by structure
m1722[C_cy],N-pantothenoylcysteine_,C12H20N2O6S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1817[C_cy],OHCU_,C5H6N4O5,no,needs_review,,,inferred,no opened source; plausible by structure
m339[C_cy],"P1-(5'-adenosyl),P4-(5'-guanosyl) tetraphosphate",C20H29N10O20P4,no,needs_review,,,inferred,no opened source; plausible by structure
m1986[C_er],Phytoceramide,C44H87NO5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1991[C_cy],Propenoyl-coA,C24H37N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m971[C_ex],TDP_,C12H20N4O7P2S,no,needs_review,C10H16N2O11P2,https://www.kegg.jp/entry/C00363,verified,"named TDP but has S+N4; likely mis-annotation, resolve identity"
m975[C_cy],TDP_,C12H18N4O7P2S,no,needs_review,C10H16N2O11P2,https://www.kegg.jp/entry/C00363,verified,named TDP but has S+N4; likely mis-annotation
m1116[C_mi],TDP_,C12H18N4O7P2S,no,needs_review,C10H16N2O11P2,https://www.kegg.jp/entry/C00363,verified,named TDP but has S+N4; likely mis-annotation
m976[C_cy],TTP_,C12H19N4O10P3S,no,needs_review,C10H17N2O14P3,https://www.kegg.jp/entry/C00459,verified,named TTP but has S+N4; likely mis-annotation
m2014[C_er],Triacylglycerol,C57H103O6,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1723[C_cy],UDP-D-glucuronate,C15H17N2O18P2,no,needs_review,C15H22N2O18P2,https://www.kegg.jp/entry/C00167,verified,"UDP-glucuronate, dH=-5 over-deprotonated"
m1964[C_cy],UDP-N-acetyl-D-glucosamine,C17H28N3O17P2,no,needs_review,,,inferred,no opened source; plausible by structure
m1965[C_er],UDP-N-acetyl-D-glucosamine,C17H28N3O17P2,no,needs_review,,,inferred,no opened source; plausible by structure
m1988[C_er],UDP-glucose,C15H22N2O17P2,no,needs_review,C15H24N2O17P2,https://www.kegg.jp/entry/C00029,verified,"UDP-glucose, dH=-2 (charge)"
m569[C_em],acylglycerone phosphate_,C21H37O7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m572[C_lp],acylglycerone phosphate_,C21H37O7P,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1930[C_cy],all_trans_Octaprenyl_diphosphate__5_repeating_units,C30H52O7P2,no,needs_review,,,inferred,no opened source; plausible by structure
m1495[C_en],arachidate_,C20H39O2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1499[C_en],behenate_,C22H44O2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1505[C_em],behenate_,C22H44O2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1508[C_lp],behenate_,C22H44O2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1651[C_mm],cardiolipin,C81H152O17P2,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1571[C_pe],cis-dec-3-enoyl-CoA_,C31H48N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1535[C_pe],cis-dodec-5-enoyl-CoA_,C33H54N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1538[C_pe],cis-hexadec-7-enoyl-CoA_,C37H63N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1540[C_pe],cis-tetradec-5-enoyl-CoA_,C35H58N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1533[C_pe],cis-tetradec-7-enoyl-CoA_,C35H59N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1805[C_ex],dibutyrin_,C11H18O5,no,needs_review,,,inferred,no opened source; plausible by structure
m1649[C_em],diglyceride,C39H73O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1642[C_lp],diglyceride,C39H74O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1670[C_cy],diglyceride,C39H73O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1673[C_nu],diglyceride,C39H73O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1674[C_mm],diglyceride,C39H73O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1704[C_gm],diglyceride,C39H73O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1703[C_vm],diglyceride,C39H72O5,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1792[C_cy],dodecanol_,C12H26O,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1900[C_cy],gamma_Amino_gamma_cyanobutanoate,C5H8N2O2,no,needs_review,,,inferred,no opened source; plausible by structure
m1794[C_cy],hexadecanol_,C16H34O,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1432[C_em],icosanoyl-CoA_,C41H73N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
m1519[C_pe],icosanoyl-CoA_,C41H74N7O17P3S,yes,needs_review,,,inferred,"engine-constructed chain-resolved lipid; mass balance code-verified, no single canonical DB formula"
